file_name	seed	formula_x	formula_y
2021-10-11-21-53_seed_6920.png	6920	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^4)
2021-10-11-21-53_seed_6466.png	6466	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^4)
2021-10-11-21-53_seed_3857.png	3857	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^4)
2021-10-11-21-53_seed_5235.png	5235	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.6, -2.6, 3.6) * y_i^3 - cos(x_i^4)
2021-10-11-21-54_seed_3820.png	3820	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - cos(x_i^4)
2021-10-11-21-54_seed_1606.png	1606	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - cos(x_i^4)
2021-10-11-21-54_seed_6274.png	6274	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - cos(x_i^4)
2021-10-11-21-54_seed_1737.png	1737	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - cos(x_i^4)
2021-10-11-21-54_seed_8898.png	8898	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - cos(x_i^4)
2021-10-11-21-54_seed_1706.png	1706	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9)/y_i^3 - cos(x_i^4)
2021-10-11-21-54_seed_14.png	14	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9)/y_i^3 - cos(x_i^4)
2021-10-11-21-54_seed_6086.png	6086	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9)/y_i^3 - cos(x_i^4)
2021-10-11-21-54_seed_9551.png	9551	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9)/y_i^3 - cos(x_i^4)
2021-10-11-21-54_seed_7708.png	7708	runif(1.5, -2.5, 3.5) * x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9)/y_i^3 - cos(x_i^4)
2021-10-11-21-55_seed_3000.png	3000	runif(1.5, -2.5, 3.5)/x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9)/y_i^3 - cos(x_i^4)
2021-10-11-21-55_seed_2770.png	2770	runif(1.5, -2.5, 3.5)/x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9)/y_i^3 - cos(x_i^4)
2021-10-11-21-55_seed_5427.png	5427	runif(1.5, -2.5, 3.5)/x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9)/y_i^3 - cos(x_i^4)
2021-10-11-21-55_seed_1328.png	1328	runif(1.5, -2.5, 3.5)/x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9)/y_i^3 - cos(x_i^4)
2021-10-11-21-55_seed_4928.png	4928	runif(1.5, -2.5, 3.5)/x_i^2 - sin(y_i^2)	runif(1.9, -2.9, 3.9)/y_i^3 - cos(x_i^4)
2021-10-11-21-55_seed_4448.png	4448	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4)
2021-10-11-21-55_seed_6453.png	6453	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4)
2021-10-11-21-55_seed_3673.png	3673	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4)
2021-10-11-21-56_seed_3624.png	3624	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4)
2021-10-11-21-56_seed_7740.png	7740	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4)
2021-10-11-21-57_seed_2793.png	2793	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-57_seed_6810.png	6810	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-57_seed_8423.png	8423	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-57_seed_943.png	943	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-57_seed_4382.png	4382	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-58_seed_1124.png	1124	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-58_seed_9446.png	9446	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-58_seed_7758.png	7758	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-58_seed_4799.png	4799	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-58_seed_8018.png	8018	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-59_seed_9610.png	9610	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2) + sin(y_i^4)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
2021-10-11-21-59_seed_1135.png	1135	runif(1.5, -2.5, 3.5) * x_i^2 - cos(y_i^2) + sin(y_i^4)	runif(1.9, -2.9, 3.9) * y_i^3 - sin(x_i^4) + cos(y_i^2)
